,reviewText,reviewDate,reviewStar,reviewCity,reviewWebsite
501,MG Hector is the No1 in the SUV segment. I loved it. It is going to be the market leader in the coming years.,"Jun 28, 2019",5,NA,https://www.cardekho.com/user-review/mg-hector/market-leader-68869.htm
502,"Its a very nice car, I loved it it has a unique and best feature. The space is very large and the headlights are awesome and dashing.","Jun 28, 2019",5,NA,https://www.cardekho.com/user-review/mg-hector/itzs-a-good-car-68855.htm
503,MG Hector is a right option car in this budget range with all the features.,"Jun 28, 2019",5,NA,https://www.cardekho.com/user-review/mg-hector/dream-car-68846.htm
504,"MG Hector is such a comfortable car, and its look is fantastic.","Jun 28, 2019",5,NA,https://www.cardekho.com/user-review/mg-hector/i-love-this-car-68842.htm
505,A new MG Hector is very smooth and with new features and is powerful interest in long drive.interior is very beautiful and so much effective car and range is available in the medium category so much bold car design.,"Jun 28, 2019",5,NA,https://www.cardekho.com/user-review/mg-hector/dream-mg-hector-68841.htm
506,Supercar with good features bur cost is a little more but its a comfortable car.,"Jun 28, 2019",5,NA,https://www.cardekho.com/user-review/mg-hector/mg-mania-going-68877.htm
507,Nice car with nice AC and big tires. The best for offroading with big seats.,"Jun 28, 2019",5,NA,https://www.cardekho.com/user-review/mg-hector/great-suv-by-mg-68863.htm
508,The car design is awesome and modern and the feature that offers just mind-blowing but some safety feature not available overall the car is just perfect at price.,"Jun 28, 2019",4,NA,https://www.cardekho.com/user-review/mg-hector/mg-hector-amazing-car-68831.htm
509,This car is very expensive. I love this car. This car also has future technology.,"Jun 27, 2019",5,NA,https://www.cardekho.com/user-review/mg-hector/expensive-but-amazing-68733.htm
510,Really I am surprised to see the features of MG Hector and amazing build quality of this SUV. its an amazing SUV. I am eager to change my Ertiga with this MG Hector.,"Jun 27, 2019",5,NA,https://www.cardekho.com/user-review/mg-hector/amazing-features-68716.htm
511,It is a very luxurious car in its segment anyone can buy it its ex-showroom price is 13 lakh rs in India,"Jun 28, 2019",5,NA,https://www.cardekho.com/user-review/mg-hector/luxury-human-thing-68830.htm
512,"This car looks like a robot, and it has a human thing.  This car is best for families.","Jun 28, 2019",4,NA,https://www.cardekho.com/user-review/mg-hector/its-a-human-thing-68823.htm
513,A complete class. What an amazing introductory price to start with.,"Jun 28, 2019",5,NA,https://www.cardekho.com/user-review/mg-hector/a-perfect-sword-for-a-perfect-warrior-68819.htm
514,An Amazing car with good looks and an amazing price range. Only one disadvantage of the diesel model is not automatic.,"Jun 28, 2019",5,NA,https://www.cardekho.com/user-review/mg-hector/amazing-car-68761.htm
515,Absolutely stunning SUV with a bunch of tech features packed in.,"Jun 28, 2019",4,NA,https://www.cardekho.com/user-review/mg-hector/for-the-geek-68759.htm
516,"The price is just awesome, its unique features such as its smooth driving and touchpad.","Jun 28, 2019",5,NA,https://www.cardekho.com/user-review/mg-hector/wow-hector-68754.htm
517,Screen size and voice over command features are excellent.. it is going to rule SUV market.,"Jun 27, 2019",5,NA,https://www.cardekho.com/user-review/mg-hector/awesome-car-with-features-taken-test-drive-68728.htm
518,It has good and stunning design at front. It looks aesthetic. But the concern is with the size of the wheel. They have to improve it with a bigger size alloy wheel.,"Jun 27, 2019",5,NA,https://www.cardekho.com/user-review/mg-hector/hector-the-victory-68708.htm
519,"Excellent touch screen stands out, and the voice control feels the best at this rate. Beats out Creta and Harrier.","Jun 27, 2019",5,NA,https://www.cardekho.com/user-review/mg-hector/bestinclass-68699.htm
520,Best SUV car in India and features are awesome. MG hector is a value of money car in India.,"Jun 27, 2019",5,NA,https://www.cardekho.com/user-review/mg-hector/value-of-money-68692.htm
521,Comfortable drive...Make feel with MG and the quality of the car was good.,"Jun 27, 2019",5,NA,https://www.cardekho.com/user-review/mg-hector/driving-experience-68682.htm
522,"Impressive In and out, the XXL touch screen infotainment system is the stand out feature. Thumbs up.","Jun 27, 2019",4,NA,https://www.cardekho.com/user-review/mg-hector/grab-one-before-the-price-hikes-68681.htm
523,"Worth the price, the company is outfield with the features they are providing, and the looks are incredible.","Jun 27, 2019",5,NA,https://www.cardekho.com/user-review/mg-hector/hector-muscle-68660.htm
524,Awesome car with the best pricing which may rule Indian roads! Voice commands are just so fab!,"Jun 27, 2019",5,NA,https://www.cardekho.com/user-review/mg-hector/best-car-at-best-budget-68702.htm
525,"MG Hector is a nice looking car, the feature is also good, and a new looking design.","Jun 27, 2019",5,NA,https://www.cardekho.com/user-review/mg-hector/nice-car-looking-so-good-68676.htm
526,"The overall outside look is very nice, but the interior is very simple need to work on the interior.","Jun 27, 2019",4,NA,https://www.cardekho.com/user-review/mg-hector/overall-its-good-68663.htm
527,Very awesome best in its segment worth buying with great all goodies.,"Jun 27, 2019",5,NA,https://www.cardekho.com/user-review/mg-hector/awesomecar-with-great-value-for-money-68697.htm
528,Car manufactured by a Chinese company. Safety and quality cannot be trusted. The resale value of the car may be low.,"Jun 27, 2019",1,NA,https://www.cardekho.com/user-review/mg-hector/chinese-car-company-possible-safety-issues-68657.htm
529,"MG Hector is providing a good experience, and comfortable driving experience price is the best price for an SUV car with more features in India, both interior and exterior also good.","Jun 27, 2019",1,NA,https://www.cardekho.com/user-review/mg-hector/best-car-68598.htm
530,"The most impressive feature is its large touch screen, which makes it special from others. But its price is a bit expensive.","Jun 27, 2019",5,NA,https://www.cardekho.com/user-review/mg-hector/screen-68651.htm
531,"Great exteriors, great design, and looking tremendously awesome, now have to check how it performs on road.","Jun 27, 2019",4,NA,https://www.cardekho.com/user-review/mg-hector/really-awesome-68649.htm
